marker,x,y
1,35410.2045769,857.743613569
2,35399.8613707,854.011678831
3,35387.1443831,850.279967572
4,35382.0579537,852.56841102
5,35377.9894123,860.516414378
6,35374.0907332,871.47486562
7,35370.1920661,882.433326704
8,35366.2934112,893.391797628
9,35362.3947683,904.350278394
10,35358.4961375,915.308768998
11,35354.5975188,926.267269446
12,35351.376591,932.168124905
13,35344.5942028,930.72382829
14,35337.3029227,927.232464137
15,35329.5030078,924.102404958
16,35323.059576,921.333453348
17,35318.4822593,927.956987594
18,35315.0923603,939.397165671
19,35310.0069754,951.439634203
20,35304.9211643,959.508281435
21,35294.4082597,956.017280051
22,35283.8953967,953.007948396
23,35273.3825222,949.998609456
24,35262.8696361,946.989263227
25,35252.3567384,943.979909709
26,35241.165389,939.043900158
27,35228.108824,933.505976853
28,35218.7825144,927.847217949
29,35220.3075156,918.213420735
30,35225.3929609,905.809586257
31,35231.6651297,891.478919913
32,35237.5980681,875.823686446
33,35243.5310307,860.16847437
34,35249.4640175,844.513283688
35,35255.3970285,828.858114397
36,35261.6691786,813.20293475
37,35267.9413525,797.547777719
38,35274.2135501,781.892643303
39,35280.4857715,766.237531498
40,35286.7580165,750.582442311
41,35289.3009462,745.64502424
42,35300.8309676,747.450324171
43,35314.9045401,751.784201357
44,35329.6564639,757.803870216
45,35344.4083671,763.823518624
46,35359.1602496,769.843146578
47,35373.9121114,775.862754083
48,35384.0857271,779.233553774
49,35398.83751,784.771456236
50,35413.5892715,790.309339885
51,35424.6106076,793.559612186
52,35423.7635322,801.14599887
53,35420.0341169,809.575579018
54,35416.3047082,818.005166409
55,35412.9145644,828.000159619
56,35409.5244307,837.995160633
