marker,x,y
1,-5126735.14501,434368.661183
2,-5126741.5648,434365.458402
3,-5126749.38565,434362.374316
4,-5126752.19474,434364.908688
5,-5126753.92552,434373.032204
6,-5126755.30202,434384.147257
7,-5126756.6785,434395.262318
8,-5126758.05495,434406.377386
9,-5126759.43138,434417.492462
10,-5126760.80779,434428.607546
11,-5126762.18416,434439.722638
12,-5126763.58732,434445.763792
13,-5126767.71234,434444.663001
14,-5126772.31046,434441.547636
15,-5126777.17829,434438.817708
16,-5126781.21502,434436.379935
17,-5126783.35775,434443.208957
18,-5126784.39319,434454.778664
19,-5126786.3785,434467.033191
20,-5126788.69938,434475.327692
21,-5126795.19891,434472.373471
22,-5126801.65776,434469.899247
23,-5126808.1166,434467.425015
24,-5126814.57543,434464.950775
25,-5126821.03426,434462.476528
26,-5126828.05608,434458.116161
27,-5126836.22955,434453.249053
28,-5126842.21155,434448.075359
29,-5126842.1244,434438.398846
30,-5126840.16955,434425.784203
31,-5126837.67685,434411.190178
32,-5126835.49609,434395.293104
33,-5126833.31528,434379.396048
34,-5126831.13443,434363.499008
35,-5126828.95352,434347.601986
36,-5126826.57241,434331.688024
37,-5126824.19125,434315.774081
38,-5126821.81003,434299.860156
39,-5126819.42877,434283.94625
40,-5126817.04745,434268.032362
41,-5126815.96309,434262.985136
42,-5126809.00553,434264.208741
43,-5126800.33339,434267.825218
44,-5126791.11862,434273.087788
45,-5126781.90383,434278.350337
46,-5126772.68903,434283.612863
47,-5126763.4742,434288.875367
48,-5126757.18504,434291.726734
49,-5126748.01085,434296.509202
50,-5126738.83664,434301.291649
51,-5126732.05724,434303.980592
52,-5126731.91718,434311.58297
53,-5126733.40723,434320.169475
54,-5126734.89728,434328.755986
55,-5126736.05499,434338.885546
56,-5126737.21268,434349.015111
