marker,x_offseted[m],y_offseted[m],distance[m]
1,0.0,0.0,0
2,-6.41978999972,-3.202781,7
3,-14.2406399995,-6.28686700005,15
4,-17.0497300001,-3.75249500002,19
5,-18.78051,4.37102099997,27
6,-20.1570100002,15.486074,38
7,-21.5334900003,26.601135,50
8,-22.9099399997,37.716203,61
9,-24.2863699999,48.831279,72
10,-25.6627799999,59.946363,83
11,-27.0391499996,71.061455,94
12,-28.4423099998,77.102609,101
13,-32.56733,76.001818,105
14,-37.1654500002,72.886453,110
15,-42.0332800001,70.156525,116
16,-46.0700099999,67.718752,121
17,-48.2127400003,74.547774,128
18,-49.2481800001,86.117481,139
19,-51.2334899995,98.372008,152
20,-53.55437,106.666509,160
21,-60.0538999997,103.712288,168
22,-66.5127499998,101.238064,175
23,-72.9715900002,98.763832,181
24,-79.4304200001,96.289592,188
25,-85.88925,93.815345,195
26,-92.9110699994,89.454978,204
27,-101.08454,84.58787,213
28,-107.06654,79.414176,221
29,-106.97939,69.737663,231
30,-105.02454,57.12302,243
31,-102.53184,42.528995,258
32,-100.351079999,26.631921,274
33,-98.1702699997,10.734865,290
34,-95.9894199995,-5.162175,306
35,-93.8085099999,-21.059197,322
36,-91.4273999995,-36.973159,339
37,-89.0462400001,-52.887102,355
38,-86.6650200002,-68.801027,371
39,-84.28376,-84.714933,387
40,-81.9024400003,-100.628821,403
41,-80.8180799996,-105.676047,408
42,-73.8605199996,-104.452442,415
43,-65.1883800002,-100.835965,424
44,-55.9736099998,-95.573395,435
45,-46.7588200001,-90.310846,446
46,-37.5440199999,-85.04832,456
47,-28.32919,-79.785816,467
48,-22.0400299998,-76.934449,474
49,-12.8658400001,-72.151981,484
50,-3.69163000025,-67.369534,495
51,3.0877700001,-64.680591,502
52,3.22783000022,-57.078213,509
53,1.73778000008,-48.491708,518
54,0.247729999945,-39.905197,527
55,-0.909979999997,-29.775637,537
56,-2.06766999979,-19.646072,547
